"","AGLOMERADO","P90","P10","cociente"
"1","Gran La Plata",76000,10000,7.6
"2","Bahía Blanca - Cerri",80000,13000,6.2
"3","Gran Rosario",71500,10500,6.8
"4","Gran Santa Fé",67000,10000,6.7
"5","Gran Paraná",62000,12000,5.2
"6","Posadas",68000,10000,6.8
"7","Gran Resistencia",52500,9000,5.8
"8","Cdro. Rivadavia – Rada Tilly",130000,19500,6.7
"9","Gran Mendoza",70000,10000,7
"10","Corrientes",65000,8000,8.1
"11","Gran Córdoba",80000,9200,8.7
"12","Concordia",60000,9000,6.7
"13","Formosa",52500,9000,5.8
"14","Neuquén – Plottier",96000,12000,8
"15","S.del Estero - La Banda",50000,10000,5
"16","Jujuy - Palpalá",55000,10000,5.5
"17","Río Gallegos",1e+05,11000,9.1
"18","Gran Catamarca",57000,9500,6
"19","Salta",66000,8000,8.2
"20","La Rioja",50000,10500,4.8
"21","San Luis - El Chorrillo",60500,14000,4.3
"22","Gran San Juan",63400,11000,5.8
"23","Gran Tucumán - T. Viejo",60000,8700,6.9
"24","Santa Rosa - Toay",95000,11000,8.6
"25","Ushuaia - Río Grande",110000,15000,7.3
"26","Ciudad de Buenos Aires",140000,20000,7
"27","Partidos del GBA",80000,9000,8.9
"28","Mar del Plata - Batán",68000,10000,6.8
"29","Río Cuarto",64000,12400,5.2
"30","San Nicolás – Villa Constitución",70000,10000,7
"31","Rawson – Trelew",1e+05,15000,6.7
"32","Viedma – Carmen de Patagones",79000,14100,5.6
"33","Total Aglomerados",80000,10000,8
